epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1439.83,1.35226,1.88069,1.42394,1.39506,0.72586,0.5933,0.66666,0.45337,0.76814,0.58704,0.66811,0.44154,1.23434,1.88198,1.31173,1.40081,0.000742815,0.000742815,0.000742815
58,1464.64,1.36055,1.88478,1.46496,1.41125,0.76157,0.5957,0.67708,0.46076,0.76253,0.59647,0.67907,0.45026,1.229,1.78797,1.35396,1.40527,0.000726312,0.000726312,0.000726312
59,1489.78,1.35679,1.84623,1.44466,1.40103,0.75035,0.58521,0.67699,0.4619,0.75065,0.58597,0.68255,0.45649,1.24361,1.79386,1.28291,1.4017,0.000709809,0.000709809,0.000709809
60,1514.23,1.32933,1.8469,1.43082,1.38854,0.69387,0.62605,0.66921,0.46006,0.69355,0.63378,0.67764,0.45854,1.1843,1.80974,1.27845,1.36992,0.000693305,0.000693305,0.000693305
61,1538.59,1.35123,1.89149,1.43359,1.37289,0.68873,0.66755,0.6945,0.48961,0.68491,0.67879,0.70375,0.4819,1.17538,1.76797,1.25637,1.37262,0.000676802,0.000676802,0.000676802
62,1563.2,1.32798,1.80209,1.39033,1.38175,0.75376,0.63547,0.69499,0.4794,0.75612,0.63801,0.69759,0.46997,1.20747,1.79444,1.2495,1.37582,0.000660299,0.000660299,0.000660299
63,1588.31,1.32597,1.86978,1.38281,1.38565,0.77436,0.61666,0.7019,0.48754,0.77465,0.61743,0.70632,0.47362,1.18622,1.80345,1.21423,1.37648,0.000643795,0.000643795,0.000643795
64,1612.96,1.30875,1.84666,1.37126,1.37057,0.80809,0.60541,0.71659,0.50663,0.79819,0.61582,0.71922,0.49018,1.14113,1.78577,1.23042,1.36413,0.000627292,0.000627292,0.000627292
65,1637.32,1.32005,1.79373,1.36259,1.37922,0.78492,0.61198,0.70405,0.49474,0.78732,0.61258,0.7062,0.47804,1.16894,1.80475,1.2,1.36672,0.000610789,0.000610789,0.000610789
66,1662.37,1.30224,1.76271,1.36245,1.36457,0.78682,0.61715,0.70488,0.49088,0.7933,0.62222,0.71334,0.47805,1.2129,1.838,1.23823,1.39633,0.000594286,0.000594286,0.000594286
67,1687.07,1.33231,1.83942,1.3724,1.38291,0.72722,0.60643,0.67051,0.47371,0.73907,0.62019,0.68082,0.46354,1.18458,1.81872,1.23296,1.37994,0.000577782,0.000577782,0.000577782
68,1711.94,1.30441,1.80616,1.35119,1.3616,0.71113,0.63624,0.6965,0.49393,0.71836,0.64296,0.7084,0.4849,1.16704,1.78507,1.20882,1.36383,0.000561279,0.000561279,0.000561279
69,1736.18,1.2819,1.78374,1.33897,1.35412,0.78927,0.58266,0.68902,0.47557,0.79047,0.58367,0.69106,0.46881,1.18809,1.80268,1.27123,1.37129,0.000544776,0.000544776,0.000544776
70,1760.46,1.30006,1.78715,1.31729,1.35815,0.79317,0.60189,0.71004,0.49553,0.79007,0.59935,0.70902,0.48736,1.18332,1.82789,1.20129,1.37449,0.000528272,0.000528272,0.000528272
71,1784.71,1.27486,1.73633,1.31529,1.3643,0.72337,0.59608,0.68764,0.48021,0.7262,0.61663,0.69078,0.47309,1.17393,1.81141,1.23379,1.37323,0.000511769,0.000511769,0.000511769
72,1809.44,1.27785,1.74686,1.31123,1.35794,0.72799,0.63522,0.69819,0.4937,0.7359,0.64284,0.71133,0.48681,1.15271,1.78209,1.19076,1.358,0.000495266,0.000495266,0.000495266
73,1834.22,1.27139,1.78456,1.31648,1.34878,0.76495,0.62657,0.70108,0.48728,0.76897,0.63119,0.70367,0.46787,1.18408,1.77308,1.19312,1.37819,0.000478762,0.000478762,0.000478762
74,1858.81,1.25103,1.74188,1.26791,1.32914,0.76222,0.63786,0.71092,0.5001,0.76512,0.6404,0.7147,0.48422,1.16371,1.768,1.21301,1.37306,0.000462259,0.000462259,0.000462259
75,1883.67,1.27161,1.71929,1.28439,1.33749,0.8416,0.55807,0.70341,0.49443,0.85306,0.56568,0.72055,0.47897,1.17772,1.77223,1.2135,1.38793,0.000445756,0.000445756,0.000445756
76,1908.6,1.27752,1.75934,1.27464,1.33683,0.81697,0.61376,0.71289,0.49415,0.82024,0.6163,0.71787,0.47767,1.18989,1.7459,1.20586,1.37863,0.000429253,0.000429253,0.000429253
77,1933.49,1.25569,1.72633,1.26288,1.32329,0.79554,0.58903,0.70514,0.49052,0.80145,0.59322,0.70799,0.48443,1.16117,1.7754,1.20716,1.37414,0.000412749,0.000412749,0.000412749
78,1958.92,1.26547,1.74732,1.26316,1.33866,0.79537,0.59055,0.70038,0.4889,0.79216,0.58801,0.69707,0.46914,1.1581,1.76243,1.22903,1.35395,0.000396246,0.000396246,0.000396246
79,1983.66,1.22749,1.67674,1.22333,1.31722,0.77914,0.63544,0.72272,0.50895,0.78251,0.6329,0.72054,0.4983,1.15038,1.75666,1.1413,1.3613,0.000379743,0.000379743,0.000379743
80,2008.01,1.24033,1.69702,1.23168,1.32379,0.78812,0.62069,0.71793,0.50462,0.79428,0.62577,0.72309,0.49402,1.1684,1.75035,1.17784,1.36553,0.000363239,0.000363239,0.000363239
81,2032.26,1.24198,1.71322,1.21542,1.32337,0.74992,0.61529,0.69113,0.48909,0.7552,0.6196,0.69912,0.48144,1.15394,1.73524,1.22695,1.3498,0.000346736,0.000346736,0.000346736
82,2056.59,1.23628,1.70767,1.24685,1.33237,0.80298,0.6052,0.70778,0.50536,0.77347,0.63085,0.71414,0.49319,1.12681,1.76671,1.19778,1.35353,0.000330233,0.000330233,0.000330233
83,2080.87,1.22873,1.67157,1.21677,1.30686,0.84045,0.6159,0.72195,0.50818,0.84371,0.61843,0.7295,0.49698,1.15076,1.75512,1.1574,1.36969,0.000313729,0.000313729,0.000313729
84,2105.32,1.1998,1.64045,1.17193,1.28655,0.87436,0.56231,0.71066,0.50787,0.87805,0.56485,0.71937,0.49844,1.15056,1.74167,1.16431,1.36153,0.000297226,0.000297226,0.000297226
85,2129.74,1.20182,1.65158,1.1768,1.30417,0.82076,0.58721,0.7032,0.49407,0.82246,0.58798,0.70618,0.48618,1.15423,1.74645,1.18073,1.35642,0.000280723,0.000280723,0.000280723
86,2154.97,1.19366,1.64375,1.17155,1.28571,0.78281,0.63516,0.71761,0.50938,0.8093,0.63947,0.72605,0.50245,1.16089,1.74683,1.15782,1.36797,0.00026422,0.00026422,0.00026422
87,2180.14,1.21345,1.68094,1.18792,1.29156,0.79823,0.63491,0.71876,0.51034,0.80362,0.63922,0.7213,0.4973,1.14333,1.76566,1.17141,1.35025,0.000247716,0.000247716,0.000247716
88,2205.16,1.2131,1.67465,1.18142,1.31166,0.7906,0.64081,0.7261,0.51353,0.7899,0.64028,0.72709,0.49874,1.15121,1.76018,1.14179,1.36141,0.000231213,0.000231213,0.000231213
89,2229.95,1.18683,1.66218,1.16294,1.30177,0.80629,0.61682,0.70976,0.49782,0.8104,0.64058,0.71493,0.48293,1.17796,1.7425,1.15807,1.37123,0.00021471,0.00021471,0.00021471
90,2254.86,1.19979,1.66824,1.15803,1.29202,0.80616,0.63467,0.72335,0.5123,0.79642,0.64058,0.72612,0.50242,1.14482,1.75038,1.14729,1.35575,0.000198206,0.000198206,0.000198206
91,2321.59,1.17291,1.62798,1.0814,1.2668,0.81559,0.58985,0.71228,0.50029,0.81909,0.59239,0.71925,0.48189,1.17208,1.77621,1.15628,1.37721,0.000181703,0.000181703,0.000181703
92,2346.07,1.15919,1.63355,1.03279,1.241,0.77879,0.64935,0.72713,0.51495,0.77079,0.65696,0.73419,0.5056,1.1497,1.75645,1.13098,1.37422,0.0001652,0.0001652,0.0001652
93,2370.85,1.15321,1.60545,1.01175,1.23826,0.77168,0.63769,0.73536,0.51032,0.7747,0.64023,0.73486,0.50538,1.14334,1.75372,1.12763,1.371,0.000148696,0.000148696,0.000148696
94,2396.13,1.14161,1.59126,1.01974,1.23372,0.7831,0.62071,0.73303,0.51444,0.78636,0.62325,0.73792,0.51127,1.14107,1.73563,1.12763,1.3702,0.000132193,0.000132193,0.000132193
95,2421.85,1.15151,1.61006,1.02066,1.24177,0.76117,0.63717,0.72869,0.51587,0.7642,0.63971,0.73744,0.50716,1.12689,1.74863,1.13585,1.35507,0.00011569,0.00011569,0.00011569
96,2446.79,1.13727,1.5894,0.99513,1.22601,0.83711,0.59636,0.72733,0.51477,0.84062,0.59889,0.73188,0.50559,1.13828,1.75422,1.13163,1.35575,9.91865e-05,9.91865e-05,9.91865e-05
97,2471.63,1.12749,1.58642,0.99035,1.22203,0.80416,0.6311,0.73172,0.5179,0.80731,0.63364,0.73745,0.51369,1.13597,1.74015,1.11538,1.362,8.26832e-05,8.26832e-05,8.26832e-05
98,2496.77,1.10607,1.54204,0.96311,1.21614,0.79744,0.61892,0.73208,0.51626,0.77868,0.64454,0.73816,0.51105,1.13084,1.74313,1.11262,1.35352,6.61799e-05,6.61799e-05,6.61799e-05
99,2521.28,1.13533,1.58018,0.97426,1.22274,0.8331,0.59762,0.73383,0.51947,0.83654,0.60016,0.73817,0.51148,1.13769,1.72658,1.11003,1.36156,4.96766e-05,4.96766e-05,4.96766e-05
100,2545.8,1.11346,1.57781,0.96578,1.20813,0.83187,0.59873,0.73943,0.52331,0.81696,0.61437,0.74505,0.51585,1.13515,1.72445,1.09186,1.36368,3.31733e-05,3.31733e-05,3.31733e-05
