epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2763.03,0.87495,1.42175,0.92561,1.15443,0.85065,0.66026,0.78477,0.57497,0.78482,0.71933,0.79009,0.55504,1.00518,1.6602,0.96751,1.25133,0.000693305,0.000693305,0.000693305
61,2808.82,0.89214,1.45517,0.92804,1.1454,0.79483,0.68991,0.77542,0.57919,0.79776,0.69245,0.77596,0.56753,0.99262,1.66244,0.98599,1.24031,0.000676802,0.000676802,0.000676802
62,2854.39,0.85335,1.36032,0.87671,1.13957,0.80809,0.67649,0.77525,0.57082,0.82414,0.66835,0.78196,0.55402,1.00413,1.65083,0.97209,1.25701,0.000660299,0.000660299,0.000660299
63,2900.04,0.85863,1.42042,0.87577,1.14551,0.81876,0.67227,0.76778,0.56419,0.81505,0.6849,0.77261,0.54901,1.00448,1.65539,0.99525,1.22558,0.000643795,0.000643795,0.000643795
64,2945.49,0.85962,1.40915,0.88969,1.13079,0.81523,0.69499,0.77791,0.57712,0.82643,0.69664,0.78277,0.56049,1.00952,1.6227,0.99535,1.25005,0.000627292,0.000627292,0.000627292
65,2990.95,0.83064,1.34248,0.83985,1.11999,0.78781,0.6775,0.7724,0.57636,0.80734,0.66851,0.7796,0.55591,0.9929,1.65091,0.97377,1.24397,0.000610789,0.000610789,0.000610789
66,3036.39,0.82866,1.33641,0.85795,1.11322,0.83771,0.69763,0.79763,0.59786,0.85051,0.69982,0.80311,0.57509,0.97761,1.6241,0.94647,1.2349,0.000594286,0.000594286,0.000594286
67,3082.27,0.85143,1.379,0.85595,1.13035,0.85023,0.66715,0.78242,0.57671,0.84903,0.66599,0.79057,0.56256,1.01936,1.66699,0.95327,1.25209,0.000577782,0.000577782,0.000577782
68,3128.68,0.83261,1.3593,0.83757,1.1123,0.84247,0.68105,0.78356,0.58678,0.84759,0.68198,0.79207,0.57162,0.98937,1.60128,0.94816,1.21516,0.000561279,0.000561279,0.000561279
69,3174.46,0.8218,1.3639,0.83727,1.10757,0.81568,0.68768,0.7757,0.5837,0.81528,0.69117,0.78338,0.56146,0.96725,1.60454,0.95159,1.21908,0.000544776,0.000544776,0.000544776
70,3219.87,0.8115,1.34701,0.80751,1.10231,0.77273,0.73327,0.78221,0.58751,0.78106,0.74088,0.79361,0.57264,0.99434,1.60351,0.94965,1.24291,0.000528272,0.000528272,0.000528272
71,3265.42,0.79405,1.29018,0.80025,1.11257,0.81688,0.69242,0.79364,0.59618,0.82158,0.70003,0.80253,0.57897,0.9713,1.59552,0.93915,1.22366,0.000511769,0.000511769,0.000511769
72,3311.79,0.79364,1.29108,0.7883,1.09759,0.84198,0.71235,0.80008,0.60078,0.84499,0.71489,0.80917,0.58442,0.95759,1.5591,0.9084,1.2171,0.000495266,0.000495266,0.000495266
73,3358.02,0.80131,1.31991,0.79287,1.09723,0.82533,0.68958,0.78571,0.58583,0.8297,0.69364,0.79652,0.57782,0.98504,1.55807,0.90471,1.23056,0.000478762,0.000478762,0.000478762
74,3404.17,0.7811,1.28892,0.75421,1.07482,0.77683,0.73636,0.79221,0.59777,0.84923,0.68964,0.80276,0.58315,0.95329,1.57313,0.93685,1.21619,0.000462259,0.000462259,0.000462259
75,3450.17,0.77699,1.27192,0.7663,1.08211,0.8304,0.6937,0.7917,0.59007,0.83797,0.69954,0.7953,0.57157,0.9728,1.55917,0.92084,1.23055,0.000445756,0.000445756,0.000445756
76,3496.4,0.78704,1.28187,0.75564,1.07895,0.81801,0.70863,0.79954,0.59931,0.84943,0.6892,0.80104,0.58379,0.96317,1.60465,0.91904,1.22348,0.000429253,0.000429253,0.000429253
77,3541.94,0.77747,1.25721,0.74256,1.08453,0.83575,0.72259,0.79737,0.59291,0.82797,0.7325,0.80097,0.58752,0.97068,1.60658,0.90892,1.23453,0.000412749,0.000412749,0.000412749
78,3587.47,0.77936,1.26385,0.75217,1.07955,0.83116,0.69701,0.79028,0.59337,0.8304,0.71005,0.79395,0.57758,0.95366,1.5992,0.90998,1.2072,0.000396246,0.000396246,0.000396246
79,3632.79,0.75245,1.23077,0.71642,1.06461,0.81289,0.72364,0.79512,0.60082,0.81362,0.7244,0.79863,0.58019,0.96855,1.62929,0.91504,1.21047,0.000379743,0.000379743,0.000379743
80,3678.15,0.75285,1.22689,0.73235,1.06815,0.84656,0.69596,0.80931,0.61447,0.80735,0.73373,0.81325,0.59894,0.94731,1.60707,0.92084,1.21063,0.000363239,0.000363239,0.000363239
81,3723.24,0.75129,1.24701,0.71384,1.0671,0.7817,0.71418,0.79033,0.59181,0.79095,0.71435,0.79671,0.57444,0.96749,1.58534,0.94915,1.22757,0.000346736,0.000346736,0.000346736
82,3769,0.73656,1.24344,0.71375,1.06694,0.81912,0.74953,0.81145,0.60718,0.8261,0.75494,0.81682,0.58996,0.9487,1.53165,0.86976,1.21892,0.000330233,0.000330233,0.000330233
83,3814.42,0.73801,1.20658,0.69665,1.05255,0.85145,0.72027,0.80329,0.60201,0.81685,0.75501,0.80683,0.5854,0.95992,1.57375,0.88413,1.22534,0.000313729,0.000313729,0.000313729
