epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1516.54,1.33222,1.79523,1.41166,1.38565,0.80252,0.56723,0.69845,0.49121,0.80511,0.56737,0.7037,0.48414,1.12757,1.76384,1.22352,1.33006,0.000973861,0.000973861,0.000973861
44,1550.96,1.31864,1.80116,1.41575,1.39498,0.789,0.53435,0.6784,0.47252,0.79745,0.53923,0.68595,0.47377,1.18794,1.85352,1.4433,1.37613,0.000957358,0.000957358,0.000957358
45,1585.13,1.32023,1.82454,1.41226,1.37614,0.75042,0.5709,0.69674,0.49339,0.76806,0.56228,0.70598,0.48636,1.15189,1.75232,1.28041,1.34126,0.000940855,0.000940855,0.000940855
46,1619.17,1.28678,1.78907,1.36016,1.35872,0.7516,0.63616,0.71052,0.50897,0.75668,0.64048,0.71448,0.50079,1.10814,1.67824,1.19279,1.33017,0.000924352,0.000924352,0.000924352
47,1653.38,1.27661,1.78645,1.36856,1.35328,0.77282,0.62657,0.70283,0.50772,0.78393,0.62556,0.70754,0.48172,1.10717,1.68565,1.19895,1.32143,0.000907848,0.000907848,0.000907848
48,1687.62,1.2722,1.72692,1.33892,1.35461,0.7721,0.67178,0.74182,0.52094,0.76743,0.67051,0.74556,0.51868,1.13196,1.69426,1.15693,1.3221,0.000891345,0.000891345,0.000891345
49,1721.66,1.26208,1.71094,1.31553,1.35075,0.84013,0.62803,0.72661,0.50854,0.84815,0.63029,0.73314,0.51043,1.14232,1.67426,1.13599,1.31884,0.000874842,0.000874842,0.000874842
50,1756.71,1.255,1.70738,1.30512,1.34347,0.802,0.62572,0.73105,0.5237,0.80289,0.62648,0.73645,0.51304,1.10667,1.66709,1.12981,1.32661,0.000858338,0.000858338,0.000858338
51,1791.74,1.26185,1.71473,1.2999,1.34357,0.73625,0.63742,0.71742,0.50217,0.73277,0.65543,0.72443,0.51243,1.12562,1.69137,1.16885,1.35094,0.000841835,0.000841835,0.000841835
52,1825.66,1.24593,1.66187,1.26506,1.33629,0.82387,0.62956,0.72893,0.50873,0.82519,0.63387,0.74093,0.50397,1.13226,1.67229,1.11783,1.32453,0.000825332,0.000825332,0.000825332
53,1860.74,1.22569,1.69022,1.26701,1.32716,0.74493,0.66338,0.72342,0.50823,0.74748,0.67417,0.73518,0.51009,1.14569,1.67633,1.11837,1.35205,0.000808828,0.000808828,0.000808828
54,1895.79,1.2049,1.70688,1.24507,1.30785,0.78196,0.63045,0.71754,0.51132,0.7837,0.6306,0.72123,0.50853,1.09527,1.65676,1.10583,1.305,0.000792325,0.000792325,0.000792325
55,1930.42,1.22366,1.65417,1.22417,1.298,0.83305,0.6168,0.72037,0.51547,0.83908,0.6192,0.73003,0.51679,1.09015,1.63158,1.14335,1.32459,0.000775822,0.000775822,0.000775822
56,1964.52,1.20536,1.64008,1.22433,1.31209,0.75257,0.64141,0.72589,0.51379,0.76352,0.64063,0.73163,0.5091,1.09542,1.60984,1.12299,1.32518,0.000759318,0.000759318,0.000759318
57,1999.63,1.1951,1.61129,1.18463,1.28752,0.80449,0.60317,0.71675,0.51656,0.76103,0.63241,0.72274,0.5045,1.08788,1.72329,1.13379,1.30295,0.000742815,0.000742815,0.000742815
58,2033.57,1.19905,1.60883,1.20459,1.29702,0.76835,0.65172,0.73234,0.52506,0.77807,0.654,0.74105,0.52075,1.0943,1.63833,1.12699,1.32382,0.000726312,0.000726312,0.000726312
59,2067.65,1.19843,1.58886,1.17742,1.29069,0.76659,0.70438,0.73986,0.52884,0.77123,0.70869,0.74755,0.50944,1.11519,1.62695,1.09712,1.32132,0.000709809,0.000709809,0.000709809
60,2102.09,1.17498,1.5763,1.17766,1.28575,0.77235,0.67952,0.73049,0.5177,0.77415,0.68028,0.73488,0.51797,1.10777,1.68198,1.11388,1.31569,0.000693305,0.000693305,0.000693305
61,2137.41,1.17581,1.60595,1.16291,1.26505,0.78437,0.66085,0.74601,0.53691,0.79103,0.66746,0.75112,0.52652,1.08783,1.6531,1.08205,1.3181,0.000676802,0.000676802,0.000676802
62,2172.3,1.15632,1.53737,1.12754,1.26713,0.83276,0.6136,0.75157,0.5389,0.83333,0.62198,0.76266,0.53991,1.07217,1.61378,1.05184,1.28997,0.000660299,0.000660299,0.000660299
63,2207.31,1.1637,1.58134,1.12023,1.27246,0.77986,0.68125,0.75205,0.54411,0.77639,0.68939,0.75736,0.54329,1.07157,1.63824,1.06591,1.30341,0.000643795,0.000643795,0.000643795
64,2241.99,1.14761,1.56066,1.10858,1.2633,0.80883,0.68637,0.74419,0.53344,0.83453,0.69068,0.7543,0.53018,1.06477,1.63329,1.06738,1.29354,0.000627292,0.000627292,0.000627292
65,2276.91,1.14842,1.51685,1.10122,1.26334,0.78171,0.64868,0.75372,0.54965,0.72771,0.70256,0.75715,0.54279,1.05066,1.60761,1.03836,1.28244,0.000610789,0.000610789,0.000610789
66,2311.09,1.13292,1.49291,1.10003,1.24995,0.76573,0.70684,0.76533,0.54925,0.77145,0.70761,0.77485,0.54196,1.07013,1.6496,1.06601,1.29411,0.000594286,0.000594286,0.000594286
67,2346.93,1.15259,1.53721,1.09908,1.26207,0.76974,0.6916,0.7663,0.54945,0.79784,0.67617,0.77345,0.54953,1.04993,1.61823,0.99871,1.28238,0.000577782,0.000577782,0.000577782
68,2381.13,1.13363,1.51794,1.08062,1.24569,0.73243,0.71786,0.76694,0.55831,0.7368,0.7211,0.76933,0.54896,1.03725,1.62601,1.03781,1.28213,0.000561279,0.000561279,0.000561279
69,2415.58,1.12222,1.51739,1.07768,1.24771,0.86814,0.63258,0.75791,0.5476,0.86865,0.63867,0.76262,0.54507,1.06049,1.61728,1.0404,1.28614,0.000544776,0.000544776,0.000544776
70,2449.65,1.1182,1.51322,1.04783,1.23511,0.7865,0.69551,0.76862,0.55517,0.78936,0.69805,0.77558,0.554,1.05454,1.66318,1.00462,1.27613,0.000528272,0.000528272,0.000528272
71,2483.11,1.09606,1.45823,1.03981,1.24122,0.71907,0.71088,0.75925,0.55139,0.72597,0.71077,0.76549,0.54435,1.04798,1.62548,1.05625,1.29712,0.000511769,0.000511769,0.000511769
72,2517.68,1.10057,1.45756,1.04413,1.23725,0.79077,0.68868,0.76835,0.56055,0.79553,0.69275,0.77548,0.56421,1.03482,1.60088,1.00237,1.27706,0.000495266,0.000495266,0.000495266
73,2551.51,1.09164,1.47196,1.02836,1.22571,0.77698,0.72601,0.781,0.56284,0.77981,0.72855,0.78577,0.55339,1.04514,1.55452,1.01119,1.28698,0.000478762,0.000478762,0.000478762
74,2587.14,1.07823,1.43844,0.99529,1.21557,0.80739,0.64554,0.75757,0.55508,0.81315,0.65237,0.76425,0.54746,1.03005,1.63136,1.04834,1.277,0.000462259,0.000462259,0.000462259
75,2621.7,1.09408,1.42981,1.009,1.22275,0.84166,0.66145,0.76496,0.5548,0.84126,0.67663,0.77274,0.54749,1.01943,1.62606,1.02158,1.25758,0.000445756,0.000445756,0.000445756
76,2656.68,1.09544,1.47317,1.01133,1.21481,0.823,0.69117,0.77815,0.56508,0.82604,0.69371,0.7812,0.56474,1.03214,1.59711,0.99552,1.29244,0.000429253,0.000429253,0.000429253
77,2690.74,1.08511,1.43885,1.00094,1.21129,0.80225,0.70031,0.76904,0.55838,0.80318,0.70107,0.77287,0.55798,1.01058,1.58781,0.97197,1.28937,0.000412749,0.000412749,0.000412749
78,2724.58,1.0939,1.44818,1.0066,1.22477,0.7646,0.66832,0.74726,0.54603,0.77452,0.67594,0.75565,0.53842,1.03369,1.5957,1.07084,1.29794,0.000396246,0.000396246,0.000396246
79,2758.15,1.04837,1.39345,0.96303,1.20087,0.84508,0.6715,0.78048,0.56785,0.84817,0.67404,0.78562,0.56629,1.02936,1.61002,0.97332,1.29472,0.000379743,0.000379743,0.000379743
80,2792.01,1.05934,1.39935,0.96276,1.20441,0.83908,0.67734,0.77601,0.564,0.84223,0.67988,0.78215,0.5557,1.00651,1.62083,0.97172,1.28095,0.000363239,0.000363239,0.000363239
81,2825.76,1.05573,1.40954,0.9545,1.20249,0.81004,0.65335,0.75449,0.55146,0.82018,0.66631,0.76418,0.54548,1.02165,1.61446,1.00782,1.2775,0.000346736,0.000346736,0.000346736
82,2859.98,1.05278,1.40894,0.9656,1.21121,0.81095,0.70003,0.78027,0.57379,0.81377,0.70789,0.79018,0.56598,1.00912,1.6183,0.96452,1.26862,0.000330233,0.000330233,0.000330233
83,2894.32,1.04469,1.3718,0.94387,1.18853,0.80734,0.71655,0.78373,0.56694,0.8103,0.71908,0.79075,0.56069,1.03571,1.60958,0.96132,1.30553,0.000313729,0.000313729,0.000313729
84,2928.62,1.02244,1.34586,0.91828,1.17344,0.80647,0.71175,0.76617,0.55978,0.80978,0.71606,0.77511,0.56047,1.03685,1.60527,1.00165,1.28951,0.000297226,0.000297226,0.000297226
85,2964.31,1.00909,1.34931,0.89842,1.1782,0.7627,0.7099,0.7734,0.57155,0.77137,0.71752,0.78647,0.56418,1.00115,1.62119,0.95485,1.27644,0.000280723,0.000280723,0.000280723
86,2998.75,1.00713,1.32724,0.89958,1.1673,0.84946,0.65993,0.7778,0.57008,0.85271,0.66247,0.78392,0.56178,1.02383,1.58196,0.96511,1.28596,0.00026422,0.00026422,0.00026422
87,3033.13,1.0378,1.37203,0.92371,1.18041,0.86313,0.6912,0.77799,0.56847,0.86392,0.69197,0.78247,0.56742,1.0198,1.61157,0.97067,1.28287,0.000247716,0.000247716,0.000247716
88,3066.91,1.01986,1.36724,0.90154,1.18299,0.8213,0.70557,0.78693,0.57375,0.82688,0.70795,0.79472,0.57212,1.01367,1.60233,0.94153,1.27297,0.000231213,0.000231213,0.000231213
89,3100.78,0.99116,1.34677,0.89166,1.17671,0.89631,0.65852,0.78214,0.57128,0.8995,0.66106,0.78608,0.56811,0.99533,1.59207,0.93555,1.27423,0.00021471,0.00021471,0.00021471
90,3134.59,0.99954,1.33942,0.872,1.16373,0.83926,0.68531,0.77401,0.57001,0.85068,0.69469,0.78773,0.56922,1.01521,1.60595,0.95709,1.28949,0.000198206,0.000198206,0.000198206
91,3200.89,0.97633,1.31797,0.80052,1.13001,0.86976,0.6653,0.7888,0.57974,0.82472,0.69683,0.79399,0.57703,1.00209,1.58956,0.93129,1.25544,0.000181703,0.000181703,0.000181703
92,3234.82,0.97057,1.31943,0.75887,1.11278,0.84151,0.7025,0.78788,0.58607,0.84474,0.70504,0.79651,0.5854,0.99511,1.60335,0.93764,1.2658,0.0001652,0.0001652,0.0001652
93,3268.71,0.95483,1.27385,0.74567,1.10877,0.82375,0.70639,0.79023,0.58874,0.84603,0.70285,0.79654,0.5802,0.99347,1.596,0.91461,1.26633,0.000148696,0.000148696,0.000148696
94,3301.59,0.94326,1.27677,0.7361,1.09934,0.81617,0.71551,0.78434,0.58556,0.82567,0.72313,0.79443,0.58375,1.00424,1.60324,0.93288,1.26657,0.000132193,0.000132193,0.000132193
95,3334.6,0.95385,1.2821,0.73752,1.10926,0.83041,0.71401,0.78847,0.58747,0.83344,0.71655,0.7936,0.58906,0.98359,1.60018,0.92114,1.25109,0.00011569,0.00011569,0.00011569
96,3367.53,0.94719,1.26577,0.71624,1.09578,0.82746,0.70403,0.78812,0.58728,0.83738,0.71533,0.80009,0.58218,1.00263,1.61588,0.93216,1.26454,9.91865e-05,9.91865e-05,9.91865e-05
97,3400.89,0.93115,1.26524,0.71337,1.09441,0.80304,0.72968,0.79371,0.59003,0.83866,0.71639,0.79895,0.5878,1.00441,1.60261,0.9275,1.27422,8.26832e-05,8.26832e-05,8.26832e-05
98,3434.84,0.90838,1.21789,0.68919,1.08346,0.79965,0.71964,0.79469,0.59465,0.80939,0.72708,0.8005,0.58777,0.9888,1.60484,0.94503,1.2598,6.61799e-05,6.61799e-05,6.61799e-05
99,3469,0.92799,1.24813,0.69772,1.08327,0.82895,0.7146,0.79644,0.59987,0.83818,0.72221,0.80266,0.5933,0.98563,1.62495,0.92456,1.26087,4.96766e-05,4.96766e-05,4.96766e-05
100,3504.09,0.91946,1.22718,0.69264,1.0758,0.82856,0.71911,0.79291,0.59618,0.83843,0.72663,0.80206,0.58819,0.98532,1.61558,0.92454,1.2565,3.31733e-05,3.31733e-05,3.31733e-05
