epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,3291.23,0.33406,0.09625,0.11524,0.24745,0.94098,0.98865,0.99206,0.99488,0.94245,0.98074,0.98413,0.99329,0.98585,0.35095,0.08001,0.06224,0.21402,0.82963,0.000218,0.000218,0.000218
92,3327.3,0.31821,0.09024,0.10725,0.22145,0.91905,0.99055,1,0.99488,0.9464,0.98268,0.99206,0.99222,0.98305,0.33504,0.0764,0.05217,0.19859,0.81954,0.0001982,0.0001982,0.0001982
93,3363.11,0.31887,0.08601,0.10936,0.22204,0.92939,0.99512,1,0.995,0.94705,0.98327,0.9881,0.9908,0.98104,0.33404,0.07877,0.04453,0.19772,0.82681,0.0001784,0.0001784,0.0001784
94,3398.34,0.30161,0.0827,0.08683,0.21554,0.90965,0.99632,1,0.995,0.94932,0.98841,0.99206,0.99288,0.98405,0.33527,0.07368,0.04735,0.19547,0.82151,0.0001586,0.0001586,0.0001586
95,3434.21,0.30216,0.08397,0.0911,0.21003,0.91588,0.99605,0.99992,0.995,0.95262,0.98814,0.99202,0.99166,0.98386,0.32968,0.07145,0.05109,0.19333,0.82128,0.0001388,0.0001388,0.0001388
96,3469.95,0.29828,0.08155,0.09249,0.21024,0.91459,0.9954,1,0.995,0.95489,0.98749,0.99206,0.9923,0.98672,0.31731,0.06571,0.04182,0.19101,0.81377,0.000119,0.000119,0.000119
97,3505.83,0.29097,0.07918,0.08425,0.20542,0.9131,0.99908,1,0.995,0.95488,0.98714,0.9881,0.98871,0.98325,0.31837,0.06639,0.03815,0.18866,0.81692,9.92e-05,9.92e-05,9.92e-05
98,3541.11,0.28355,0.07989,0.0792,0.20111,0.90917,0.9994,1,0.995,0.95643,0.99542,0.99603,0.99369,0.98915,0.31457,0.06613,0.03522,0.18424,0.80843,7.94e-05,7.94e-05,7.94e-05
99,3576.89,0.28885,0.08055,0.07283,0.20224,0.905,0.99908,1,0.995,0.95605,0.99512,0.99603,0.99286,0.98848,0.30666,0.06468,0.03356,0.18504,0.8076,5.96e-05,5.96e-05,5.96e-05
100,3612.05,0.27851,0.07587,0.07662,0.19632,0.90592,0.99862,1,0.995,0.95936,0.99466,0.99603,0.99254,0.9862,0.30747,0.06254,0.03148,0.18368,0.80696,3.98e-05,3.98e-05,3.98e-05
